"Устройство столбчатого фундамента (ФМ1, ФМ2) Армирование","ООО «ДВГ Капстрой»","тонн."
"Устройство столбчатого фундамента (ФМ1, ФМ2) Бетонирование","ООО «ДВГ Капстрой»","м3"
"Устройство буронабивных свай (БНС) Армирование","ООО «ДВГ Капстрой»","тонн."
"Устройство буронабивных свай (БНС) Бетонирование","ООО «ДВГ Капстрой»","м3"
"Устройство ростверка (РМ1, РМ2) Армирование","ООО «ДВГ Капстрой»","тонн."
"Устройство ростверка (РМ1, РМ2) Бетонирование","ООО «ДВГ Капстрой»","м3."
"Устройство фундамента Армирование","ООО «ДВГ Капстрой»","тонн."
"Устройство фундамента Бетонирование","ООО «ДВГ Капстрой»","м3"
"ПКМ Отмостка Армирование","ООО «ДВГ Капстрой»","тонн."
"Устройство плиты Армирование","ООО «ДВГ Капстрой»","тонн."
"Устройство плиты Бетонирование","ООО «ДВГ Капстрой»","м3"
"Прокладка канализационной магистрали, монтаж смотровых колодцев (от 226 до 8 колодца)","ООО «ДВГ Капстрой»","шт"
"Прокладка ливневой  магистрали, монтаж смотровых колодцев","ООО «ДВГ Капстрой»","шт"
"Установка колодцев ККС-2","ООО «ЦентрСвязьСтрой»","шт"
"Прокладка ПНД труб между колодцами","ООО «ЦентрСвязьСтрой»","мп"
"Установка колодцев ККС-2","ООО «ЦентрСвязьСтрой»","шт"
"Прокладка ПНД труб между колодцами","ООО «ЦентрСвязьСтрой»","м"
"Кабель ВОЛС","ООО «ЦентрСвязьСтрой»","м"
"Переходы методом ГНБ","ООО «ЦентрСвязьСтрой»","шт"
"Разработка траншеи под кабельные линии","ООО «ЭнергоСтройИнвест»","м3"
"Прокладка кабеля К9СПвСБВнг(А)-LS-1кВ (4х70) мм²","ООО «ЭнергоСтройИнвест»","м"
"Обратная засыпка траншеи грунтом","ООО «ЭнергоСтройИнвест»","м3"
"Установка соединительных муфт для кабеля К9СПвСБВнг(А)-LS-1кВ 4х70мм²","ООО «ЭнергоСтройИнвест»","шт."
"Установка концевых муфт для кабеля К9СПвСБВнг(А)-LS-1кВ 4х70мм²","ООО «ЭнергоСтройИнвест»","шт."
"Измерение сопротивления изоляции. Испытание силового кабеля 1кВ повышенным напряжением","ООО «ЭнергоСтройИнвест»","измер."
"Разработка траншеи под кабельные линии","ООО «ЭнергоСтройИнвест»","м3"
"Прокладка кабеля К9СПвСБВнг(А)-LS-1кВ (4х185) мм²","ООО «ЭнергоСтройИнвест»","м"
"Обратная засыпка траншеи грунтом","ООО «ЭнергоСтройИнвест»","м3"
"Установка соединительных муфт для кабеля К9СПвСБВнг(А)-LS-1кВ 4х1850мм²","ООО «ЭнергоСтройИнвест»","шт."
"Установка концевых муфт для кабеля К9СПвСБВнг(А)-LS-1кВ 4х185мм²","ООО «ЭнергоСтройИнвест»","шт."
"Измерение сопротивления изоляции. Испытание силового кабеля 1кВ повышенным напряжением","ООО «ЭнергоСтройИнвест»","измер."
"Монтаж шумозащитных экранов","ООО «СМТ №11»","м2"
